Change,Country,Location,Name,NameWoDiacritics,Subdivision,Status,Function,Date,IATA,Coordinates,Remarks,CoordinatesDecimal,Distance,Source
,AD,ALV,Andorra la Vella,Andorra la Vella,,AI,--34-6--,0601,,4230N 00131E,,"42.50000,1.51667",1,UN/LOCODE
,AD,CAN,Canillo,Canillo,,RL,--3-----,0307,,4234N 00135E,,"42.56667,1.58333",1,UN/LOCODE
,AD,EAC,Escàs,Escas,04,RL,--3-----,1407,,4233N 00131E,,"42.55000,1.51667",1,UN/LOCODE
,AD,ENC,Encamp,Encamp,,RL,--3-----,0307,,4232N 00134E,,"42.53333,1.56667",1,UN/LOCODE
,AD,ESC,Escaldes-Engordany,Escaldes-Engordany,,RL,--3-----,0307,,4231N 00133E,,"42.51667,1.55000",1,UN/LOCODE
,AD,FMO,La Farga de Moles,La Farga de Moles,,RL,--3----B,0307,,4226N 00128E,,"42.430682,1.467462",N/A (no UN/LOCODE),http://www.wikidata.org/entity/Q3820839
,AD,LMA,La Massana,La Massana,,RL,--3-----,0307,,4234N 00129E,,"42.56667,1.48333",4,UN/LOCODE
,AD,ORD,Ordino,Ordino,,RL,--3-----,0307,,4233N 00131E,,"42.55000,1.51667",2,UN/LOCODE
,AD,PAS,Pas de la Casa,Pas de la Casa,,RL,--3----B,0307,,4233N 00144E,,"42.55000,1.73333",1,UN/LOCODE
,AD,SCO,Santa Coloma,Santa Coloma,,RL,--3-----,0307,,4230N 00130E,,"42.50000,1.50000",1,UN/LOCODE
,AD,SJL,Sant Julià de Lòria,Sant Julia de Loria,,RL,--3-----,1101,,4228N 00130E,,"42.46667,1.50000",0,UN/LOCODE
,AE,AAN,Al Ain,Al Ain,,AI,---4----,9601,,2413N 05545E,,"24.2248697,55.7452211",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/82799640#map=12/24.2248697/55.7452211
,AE,ABU,Abu al Bukhoosh,Abu al Bukhoosh,,RL,1-------,0307,,2529N 05308E,,"25.48333,53.13333",N/A (no Nominatim),UN/LOCODE
,AE,AJM,Ajman,Ajman,,RL,1-3-----,0103,QAJ,2524N 05527E,,"25.3936557,55.4451432",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/262479959#map=12/25.3936557/55.4451432
,AE,AJP,Al Jeer Port,Al Jeer Port,RK,RL,1-3-----,1307,,2602N 05603E,,"26.03333,56.05000",N/A (no Nominatim),UN/LOCODE
,AE,ALB,Al Barsha,Al Barsha,DU,RL,--3-----,1701,,2506N 05511E,,"25.10000,55.18333",2,UN/LOCODE
,AE,ALQ,Al Quoz,Al Quoz,DU,RL,--3-----,1701,,2507N 05513E,,"25.11667,55.21667",6,UN/LOCODE
,AE,ALS,Al Sufouh,Al Sufouh,DU,RL,--3-----,1701,,2507N 05511E,,"25.11667,55.18333",1,UN/LOCODE
,AE,AMF,Musaffah,Musaffah,AZ,RL,1-3-----,2301,,2423N 05429E,Function is 1 and coordinates is 2423N 05429E,"24.38333,54.48333",2,UN/LOCODE
,AE,AMU,Abu Musa,Abu Musa,,RL,1-------,0201,,2552N 05501E,,"25.86667,55.01667",N/A (no Nominatim),UN/LOCODE
,AE,ARP,Ahmed Bin Rashid Port,Ahmed Bin Rashid Port,AZ,RL,1-------,1407,,2532N 05533E,,"25.53333,55.55000",7,UN/LOCODE
,AE,ARZ,Arzanah Island,Arzanah Island,,RL,0-------,9506,,2447N 05234E,,"24.7892066,52.5602525",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/18471635
,AE,AUH,Abu Dhabi,Abu Dhabi,AZ,AI,1-345---,1101,,2428N 05422E,,"24.46667,54.36667",2,UN/LOCODE
,AE,AWE,Al Aweer,Al Aweer,DU,RL,-23-----,2307,,2509N 05526E,,"25.1493504,55.4258942",13,https://www.openstreetmap.org/way/155312475#map=12/25.1493504/55.4258942
,AE,DAS,Das Island,Das Island,,RL,1-------,0003,,2509N 05253E,,"25.1419310,52.8775403",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/18471640
,AE,DBI,Al Mafraq,Al Mafraq,AZ,RL,--3-----,1601,,2418N 05436E,,"24.30000,54.60000",3,UN/LOCODE
,AE,DBP,Dibba,Dibba,SH,RL,1-3-----,0401,,2537N 05616E,,"25.61667,56.26667",0,UN/LOCODE
,AE,DER,Deira,Deira,DU,RL,--3-----,1401,,2516N 05519E,,"25.26667,55.31667",1,UN/LOCODE
,AE,DHF,Al Dhafra,Al Dhafra,,AI,--34----,0507,,2414N 05432E,,"24.23333,54.53333",3,UN/LOCODE
,AE,DUJ,The Palm Jumeirah,The Palm Jumeirah,DU,RL,1-------,0901,,2507N 05508E,,"25.117222,55.134444",N/A (no UN/LOCODE),http://www.wikidata.org/entity/Q277294
,AE,DUY,Ras Zubbaya (Ras Dubayyah),Ras Zubbaya (Ras Dubayyah),,RL,0-------,9012,,,,,N/A,N/A
,AE,DWC,Dubai World Central Apt,Dubai World Central Apt,,AI,--34----,1007,,2453N 05510E,,"24.88333,55.16667",N/A (no Nominatim),UN/LOCODE
,AE,DXB,Dubai,Dubai,DU,AI,1-345---,0407,,2515N 05516E,,"25.25000,55.26667",3,UN/LOCODE
,AE,END,Esnnad,Esnnad,AZ,RL,1-------,0901,,2419N 05427E,,"24.31667,54.45000",N/A (no Nominatim),UN/LOCODE
,AE,FAT,Fateh Terminal,Fateh Terminal,,QQ,1-------,8103,,2535N 05425E,,"25.5833,54.4167",N/A (no UN/LOCODE),http://www.wikidata.org/entity/Q4481447
,AE,FJR,Al Fujayrah,Al Fujayrah,FU,AI,1--4----,0212,,2507N 05620E,,"25.11667,56.33333",36,UN/LOCODE
,AE,FMZ,Musafa,Musafa,,RL,0-------,9307,,2420N 05431E,,"24.333333,54.516667",N/A (no UN/LOCODE),http://www.wikidata.org/entity/Q12243475
,AE,FRP,Free Port,Free Port,DU,RL,1-------,1407,,2528N 05530E,,"25.4728575,55.4946245",35,https://www.openstreetmap.org/relation/6189048
,AE,HAB,Habshan,Habshan,AZ,RL,--3-----,1207,,2347N 05334E,,"23.7808771,53.5645219",18,https://www.openstreetmap.org/way/436052627#map=12/23.7808771/53.5645219
,AE,HAM,Al Hamriyah,Al Hamriyah,,RL,--3-----,0212,,2529N 05530E,,"25.48333,55.50000",3,UN/LOCODE
,AE,HAT,Hatta,Hatta,DU,RL,--3-----,1707,,2447N 05607E,,"24.78333,56.11667",2,UN/LOCODE
,AE,HIL,Hail,Hail,AZ,RL,------7-,1801,,2506N 05615E,,"25.09253,56.243891",N/A (hardcoded to Wikidata),http://www.wikidata.org/entity/Q4704008
,AE,HSN,Hassyan,Hassyan,DU,AA,1-3-----,1901,,2454N 05454E,,"24.90000,54.90000",2,UN/LOCODE
,AE,HTL,Hulaylah Terminal,Hulaylah Terminal,,RL,1-------,0901,,2559N 05556E,,"25.98333,55.93333",N/A (no Nominatim),UN/LOCODE
,AE,HZP,Hamriya Free Zone Port,Hamriya Free Zone Port,DU,RL,1-------,1407,,2528N 05530E,,"25.4728575,55.4946245",26,https://www.openstreetmap.org/relation/6189048
,AE,IDA,Jebel Ali Industrial Area,Jebel Ali Industrial Area,DU,AM,--3--6--,2207,,2500N 05507E,,"25.00000,55.11667",1,UN/LOCODE
,AE,IND,Indooroodilly,Indooroodilly,,RL,--3-----,0201,,,,,N/A,N/A
,AE,JAZ,Al Jazeera Port,Al Jazeera Port,RK,RL,1-------,1307,,2543N 05548E,,"25.71667,55.80000",1,UN/LOCODE
,AE,JEA,Jebel Ali,Jebel Ali,,QQ,1-------,8103,,2502N 05508E,,"25.0338168,55.1366041",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/8143204857#map=12/25.0338168/55.1366041
,AE,JED,Jebel Dhanna,Jebel Dhanna,,QQ,1-------,8103,,2410N 05236E,,"24.163675,52.597433",N/A (no UN/LOCODE),http://www.wikidata.org/entity/Q1261917
,AE,JYH,Jumayrah,Jumayrah,,RL,--3-----,0201,,2510N 05513E,,"25.16667,55.21667",N/A (no Nominatim),UN/LOCODE
,AE,KHA,Khalidia,Khalidia,,RL,--3-----,0201,,,,,N/A,N/A
,AE,KHL,Mina Khalifa/Abu Dhabi,Mina Khalifa/Abu Dhabi,,RL,1-------,1207,,2450N 05440E,,"24.83333,54.66667",N/A (no Nominatim),UN/LOCODE
,AE,KLB,Kalba,Kalba,,RL,1-3-----,0601,,2504N 05621E,,"25.06667,56.35000",2,UN/LOCODE
,AE,KLF,Khor al Fakkan,Khor al Fakkan,,RL,1-------,0212,,2520N 05621E,,"25.33333,56.35000",2,UN/LOCODE
,AE,MAS,Masfut,Masfut,,RL,0-------,9307,,2449N 05606E,,"24.8154269,56.0971043",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/12153504632#map=12/24.8154269/56.0971043
,AE,MBS,Mubarras Island,Mubarras Island,,RL,1-------,2407,,2435N 05319E,,"24.58333,53.31667",N/A (no Nominatim),UN/LOCODE
,AE,MKH,Mina Khalid,Mina Khalid,SH,RL,1-3-----,0401,,2521N 05522E,,"25.35000,55.36667",2,UN/LOCODE
,AE,MRP,Mina Rashid Port,Mina Rashid Port,AZ,RL,1-------,1407,,2516N 05517E,,"25.26667,55.28333",2,UN/LOCODE
,AE,MSA,Mina Saqr,Mina Saqr,RK,RL,1-------,2007,,2558N 05604E,,"25.96667,56.06667",N/A (no Nominatim),UN/LOCODE
,AE,MUB,Mubarek Terminal,Mubarek Terminal,,QQ,1-------,8103,,2551N 05513E,,"25.85,55.216667",N/A (no UN/LOCODE),http://www.wikidata.org/entity/Q140168021
,AE,MZD,Mina Zayed/Abu Dhabi,Mina Zayed/Abu Dhabi,AZ,RL,1-------,0401,,2431N 05422E,,"24.51667,54.36667",2,UN/LOCODE
,AE,NHD,Minhad,Minhad,,AI,---4----,9506,,2502N 05522E,,"25.026818,55.366243",N/A (no UN/LOCODE),http://www.wikidata.org/entity/Q1934988
,AE,OFJ,Offshore Fujairah,Offshore Fujairah,,RL,------7-,0907,,2515N 05640E,,"25.25000,56.66667",N/A (no Nominatim),UN/LOCODE
,AE,PRA,Port Rashid,Port Rashid,,RL,1-------,9506,,2516N 05516E,,"25.2709307,55.2658310",N/A (no UN/LOCODE),https://www.openstreetmap.org/way/1148760943#map=12/25.2709307/55.2658310
,AE,QIW,Umm al Quwain,Umm al Quwain,,AI,1--4----,2007,,2535N 05535E,,"25.58333,55.58333",5,UN/LOCODE
,AE,QWE,Jebel Ali Free Zone,Jebel Ali Free Zone,DU,RL,1-3-----,1401,,2500N 05503E,,"25.00000,55.05000",4,UN/LOCODE
,AE,RAK,Ras Al Khor,Ras Al Khor,DU,RL,-----6--,1007,,2512N 05520E,,"25.1939625,55.3392449",25,https://www.openstreetmap.org/node/8143204820#map=12/25.1939625/55.3392449
,AE,REI,Reem Island,Reem Island,AZ,RL,--3-----,1701,,2429N 05424E,,"24.48333,54.40000",1,UN/LOCODE
,AE,RFA,Mirfa,Mirfa,AZ,RL,1----6--,0907,,2406N 05329E,,"24.0961596,53.4870650",152,https://www.openstreetmap.org/relation/11900265
,AE,RKP,Rak Khor Port,Rak Khor Port,RK,RL,1-------,1307,,2549N 05557E,,"25.81667,55.95000",N/A (no Nominatim),UN/LOCODE
,AE,RKT,Ras al Khaimah,Ras al Khaimah,,AI,1--4----,0212,,2547N 05557E,,"25.78333,55.95000",2,UN/LOCODE
,AE,RMC,Rak Maritime City,Rak Maritime City,RK,RL,1-------,1307,,2557N 05603E,,"25.95000,56.05000",N/A (no Nominatim),UN/LOCODE
,AE,RUW,Ar Ruways,Ar Ruways,,RL,1-------,0212,,2407N 05244E,,"24.11667,52.73333",N/A (no Nominatim),UN/LOCODE
,AE,RWP,Ruwais Port,Ruwais Port,AZ,RL,1-------,1407,,2411N 05234E,,"24.1826892,52.5691482",18,https://www.openstreetmap.org/way/1079440444#map=12/24.1826892/52.5691482
,AE,SHJ,Sharjah,Sharjah,SH,AI,1-34----,1307,,2521N 05523E,,"25.35000,55.38333",4,UN/LOCODE
,AE,SID,Sadiyat Island,Sadiyat Island,,RL,1-------,0901,,2432N 05424E,,"24.53333,54.40000",N/A (no Nominatim),UN/LOCODE
,AE,SIL,Sila,Sila,AZ,RL,--3-----,1407,,2404N 05145E,,"24.06667,51.75000",0,UN/LOCODE
,AE,SRT,Stevin Rock,Stevin Rock,RK,RL,-----6--,2007,,2511N 05604E,,"25.1815200,56.0593763",87,https://www.openstreetmap.org/way/360618690#map=12/25.1815200/56.0593763
,AE,SWE,Swaihan,Swaihan,AZ,RL,--3-----,1701,,2427N 05520E,,"24.45000,55.33333",2,UN/LOCODE
,AE,SZE,Jebel Ali Free Zone (South),Jebel Ali Free Zone (South),DU,AM,--3--6--,2207,,2457N 05507E,,"24.95000,55.11667",5,UN/LOCODE
,AE,SZS,Saif Zone,Saif Zone,SH,AM,--3--6--,2301,,2520N 05529E,,"25.33333,55.48333",0,UN/LOCODE
,AE,ULR,Umm Al Nar,Umm Al Nar,,RL,1-------,0201,,2426N 05430E,,"24.43333,54.50000",N/A (no Nominatim),UN/LOCODE
,AE,VHT,Vopak Horizion Terminal,Vopak Horizion Terminal,RK,RL,-----6--,1407,,2537N 05616E,,"25.61667,56.26667",N/A (no Nominatim),UN/LOCODE
,AE,YAS,Yas Island,Yas Island,AZ,RL,1-------,1207,,2429N 05436E,,"24.4883715,54.6072307",204,https://www.openstreetmap.org/relation/13251334
,AE,ZUR,Zirku Island,Zirku Island,AZ,RL,1-------,0212,,2453N 05304E,,"24.88333,53.06667",1,UN/LOCODE
,AF,ASH,Ali Shirzayi,Ali Shirzayi,URU,RL,--3-----,1307,,3252N 06603E,,"32.86667,66.05000",N/A (no Nominatim),UN/LOCODE
,AF,BAG,Bagram,Bagram,PAR,RL,--3-----,0307,,3457N 06915E,,"34.95000,69.25000",2,UN/LOCODE
,AF,BIN,Bamian,Bamian,,AI,--34----,0907,,3449N 06750E,,"34.8223804,67.8368338",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/830011080#map=12/34.8223804/67.8368338
,AF,BEP,Bazar-E-Panjwai,Bazar-E-Panjwai,KAN,RL,--3-----,1001,,3133N 06527E,,"31.55000,65.45000",1,UN/LOCODE
,AF,BST,Bost,Bost,,AI,---4----,9912,,,,,N/A,N/A
,AF,CBN,Shorabak,Shorabak,HEL,AS,--34----,1307,OAZ,3011N 06611E,,"30.1832588,66.1844574",264,https://www.openstreetmap.org/node/4402738346#map=12/30.1832588/66.1844574
,AF,CCN,Chaghcharan,Chaghcharan,,AI,---4----,1307,,3431N 06515E,,"34.51667,65.25000",1,UN/LOCODE
,AF,DAZ,Darwaz,Darwaz,,AI,---4----,9601,,3824N 07049E,,"38.4068088,70.8189738",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/1137329275#map=12/38.4068088/70.8189738
,AF,DHD,Dehdadi,Dehdadi,BAL,RL,1----6--,1201,,3639N 06659E,,"36.65000,66.98333",2,UN/LOCODE
,AF,ISQ,Eslam Qal'eh,Eslam Qal'eh,,RL,--3-----,0601,,3440N 06104E,,"34.66667,61.06667",N/A (no Nominatim),UN/LOCODE
,AF,FBD,Faizabad,Faizabad,,AI,---4----,9601,,3707N 07035E,,"37.1187512,70.5784966",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/312586412#map=12/37.1187512/70.5784966
,AF,FAH,Farah,Farah,,AI,---4----,9912,,3222N 06207E,,"32.3740907,62.1146266",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/312462304#map=12/32.3740907/62.1146266
,AF,GRG,Gardez,Gardez,,AI,---4----,9912,,3336N 06913E,,"33.6014533,69.2235518",N/A (no UN/LOCODE),https://www.openstreetmap.org/way/342640046#map=12/33.6014533/69.2235518
,AF,GAR,Gardiz,Gardiz,PIA,RL,--3-----,0901,,3335N 06913E,,"33.58333,69.21667",N/A (no Nominatim),UN/LOCODE
,AF,GZI,Ghazni,Ghazni,,AI,---4----,9912,,3333N 06825E,,"33.5448968,68.4132108",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/312452077#map=12/33.5448968/68.4132108
,AF,HRT,Hairatan,Hairatan,,RL,0-------,9705,,3713N 06725E,,"37.2221321,67.4248608",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/3446336356#map=12/37.2221321/67.4248608
,AF,HEA,Herat,Herat,,AI,---4----,9601,,3421N 06213E,,"34.3491443,62.2163252",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/312432807#map=12/34.3491443/62.2163252
,AF,JAA,Jalalabad,Jalalabad,,AI,---4----,9912,,3426N 07028E,,"34.4301950,70.4601280",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/6607907
,AF,KBL,Kabul,Kabul,,AI,--345---,9601,,3432N 06911E,,"34.5269503,69.1850584",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/21716195#map=12/34.5269503/69.1850584
,AF,KMU,Kamu,Kamu,KNR,RL,--3-----,1001,,3524N 07125E,,"35.40000,71.41667",N/A (no Nominatim),UN/LOCODE
,AF,KDH,Kandahar,Kandahar,,AI,--34----,9601,,3137N 06543E,,"31.6205738,65.7157573",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/97993575#map=12/31.6205738/65.7157573
,AF,KHT,Khost,Khost,,AI,---4----,9912,,3320N 06955E,,"33.3391402,69.9206359",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/312593138#map=12/33.3391402/69.9206359
,AF,KHO,Khowst,Khowst,KNR,RL,--3-----,0907,,3320N 06955E,,"33.3391402,69.9206359",223,https://www.openstreetmap.org/node/312593138#map=12/33.3391402/69.9206359
,AF,KWT,Khowst,Khowst,PIA,RL,--3-----,0907,,3320N 06955E,,"33.33333,69.91667",1,UN/LOCODE
,AF,KWH,Khwahan,Khwahan,,AI,---4----,9912,,3753N 07013E,,"37.8896530,70.2187530",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/1137333457#map=12/37.8896530/70.2187530
,AF,UND,Kunduz,Kunduz,,AI,---4----,9601,,3643N 06852E,,"36.7175566,68.8672916",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/271741224#map=12/36.7175566/68.8672916
,AF,KUR,Kuran-O-Munjan,Kuran-O-Munjan,,AI,---4----,9912,,3602N 07046E,,"36.0286630,70.7725750",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/4386833005#map=12/36.0286630/70.7725750
,AF,LAG,Lashkar Gah,Lashkar Gah,HEL,RL,--3-----,0901,,3135N 06421E,,"31.58333,64.35000",1,UN/LOCODE
,AF,MMZ,Maimana,Maimana,,AI,---4----,9601,,3555N 06447E,,"35.9208899,64.7836993",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/312575332#map=12/35.9208899/64.7836993
,AF,MWD,Maiwand,Maiwand,KAN,RL,--3-----,0901,,3135N 06500E,,"31.5836300,64.9933250",21,https://www.openstreetmap.org/relation/6588264
,AF,MAS,Mashad,Mashad,,RL,0-------,8910,,3649N 07006E,,"36.816667,70.101389",N/A (no UN/LOCODE),http://www.wikidata.org/entity/Q6783109
,AF,MZR,Mazar-i-Sharif,Mazar-i-Sharif,,AI,---4----,0212,,3642N 06706E,,"36.70000,67.10000",1,UN/LOCODE
,AF,MEH,Mehtar Lam,Mehtar Lam,LAG,RL,--3-----,1101,,3440N 07012E,,"34.66667,70.20000",1,UN/LOCODE
,AF,MEY,Meydan,Meydan,BAL,RL,--3-----,1307,,3339N 06532E,,"33.6573660,65.5311980",382,https://www.openstreetmap.org/node/4380849851#map=12/33.6573660/65.5311980
,AF,IMZ,Nimroz,Nimroz,,AI,---4----,9912,,3047N 06229E,,"30.7753811,62.4793088",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/1674664
,AF,ORG,Orgun-E Kalan,Orgun-E Kalan,PKA,RL,--3-----,1307,,3254N 06913E,,"32.90000,69.21667",N/A (no Nominatim),UN/LOCODE
,AF,PSD,Pasaband,Pasaband,GHO,RL,--3-----,1207,,3341N 06451E,,"33.68333,64.85000",1,UN/LOCODE
,AF,PEC,Pol-e Charkhi,Pol-e Charkhi,KAB,RL,--3-----,1701,,3432N 06920E,,"34.53333,69.33333",N/A (no Nominatim),UN/LOCODE
,AF,LQN,Qala Nau,Qala Nau,,AI,---4----,9601,,3459N 06308E,,"34.9883794,63.1337263",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/313319448#map=12/34.9883794/63.1337263
,AF,QLT,Qalat,Qalat,,RL,1-3-----,0601,,3206N 06653E,,"32.10000,66.88333",2,UN/LOCODE
,AF,QYN,Qal'Eh-Ye Now,Qal'Eh-Ye Now,BDG,RL,--3-----,1001,,3348N 06856E,,"33.8041250,68.9360460",550,https://www.openstreetmap.org/node/4416236818#map=12/33.8041250/68.9360460
,AF,QAM,Qasim,Qasim,,RL,-----6--,1007,,3655N 07052E,,"36.9116185,70.8609696",217,https://www.openstreetmap.org/node/3981464557#map=12/36.9116185/70.8609696
,AF,SBF,Sardeh Band,Sardeh Band,,AI,---4----,9912,,3318N 06838E,,"33.3047683,68.6257885",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/7714085459#map=12/33.3047683/68.6257885
,AF,SRO,Sharona,Sharona,PKA,RL,-----6--,0901,,3310N 06847E,,"33.171945,68.786389",N/A (hardcoded to Wikidata),http://www.wikidata.org/entity/Q2615863
,AF,SGA,Sheghnan,Sheghnan,,AI,---4----,9601,,3734N 07129E,,"37.5590341,71.4880538",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/1137337383#map=12/37.5590341/71.4880538
,AF,SHE,Sherhan-Bandar,Sherhan-Bandar,,RL,--3-----,0901,,3712N 06905E,,"37.20000,69.08333",N/A (no Nominatim),UN/LOCODE
,AF,SDD,Shindand,Shindand,HER,RL,--3-----,0907,,3318N 06208E,,"33.30000,62.13333",2,UN/LOCODE
,AF,SBK,Spin Boldak,Spin Boldak,KAN,RL,--3-----,1307,,3100N 06624E,,"31.00000,66.40000",1,UN/LOCODE
,AF,TQN,Taluqan,Taluqan,,AI,---4----,9912,,3644N 06932E,,"36.7345510,69.5409089",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/318091652#map=12/36.7345510/69.5409089
,AF,TKO,Tarin Kowt,Tarin Kowt,URU,RL,--3-----,1307,,3237N 06552E,,"32.61667,65.86667",1,UN/LOCODE
,AF,TII,Tirinkot,Tirinkot,,AI,---4----,9601,,3237N 06553E,,"32.624167,65.876667",N/A (no UN/LOCODE),http://www.wikidata.org/entity/Q989293
,AF,TGH,Torghundi,Torghundi,,RL,0-------,9705,,3515N 06217E,,"35.2433650,62.2841110",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/3456031243#map=12/35.2433650/62.2841110
,AF,RKH,Torkham,Torkham,NAN,RL,1-------,0901,,3408N 07105E,,"34.1371589,71.0820181",113,https://www.openstreetmap.org/node/8406849734#map=12/34.1371589/71.0820181
,AF,TOW,Towraghondi,Towraghondi,HER,RL,--3-----,1307,,3515N 06217E,,"35.25000,62.28333",N/A (no Nominatim),UN/LOCODE
,AF,URN,Urgoon,Urgoon,,AI,---4----,9912,,,,,N/A,N/A
,AF,URZ,Uruzgan,Uruzgan,,AI,---4----,9601,,3249N 06601E,,"32.8129681,66.0183185",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/1674993
,AF,ZAJ,Zaranj,Zaranj,,AI,---4----,9912,,3057N 06152E,,"30.9547540,61.8594750",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/312466967#map=12/30.9547540/61.8594750
,AF,ZHA,Zhari Dasht,Zhari Dasht,KAN,RL,--3-----,1001,,3138N 06531E,,"31.63333,65.51667",N/A (no Nominatim),UN/LOCODE
,AG,ANU,Antigua,Antigua,,AI,1---5---,9601,,1706N 06147W,,"17.1037152,-61.7904505",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/9604138
,AG,BBQ,Barbuda,Barbuda,,AI,1-------,9601,,1707N 06151W,,"17.1184569,-61.8448509",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/425746989#map=12/17.1184569/-61.8448509
,AG,FAM,Falmouth,Falmouth,,RL,1----6--,1107,,1701N 06147W,,"17.01667,-61.78333",1,UN/LOCODE
,AG,PHM,Parham,Parham,,RL,1----6--,1107,,1705N 06145W,,"17.08333,-61.75000",3,UN/LOCODE
,AG,SJO,Saint John's,Saint John's,,AI,1-------,1101,,1707N 06151W,,"17.11667,-61.85000",1,UN/LOCODE
,AI,AXA,Anguilla,Anguilla,,AI,---45---,9601,,1812N 06305W,,"18.1954947,-63.0750234",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/2177161
,AI,BLP,Blowing Point,Blowing Point,,QQ,1-------,8110,,1811N 06306W,,"18.1750400,-63.0936881",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/2107882090#map=12/18.1750400/-63.0936881
,AI,CRH,Crocus Hill,Crocus Hill,,RL,--3-----,0607,,1813N 06304W,,"18.21667,-63.06667",0,UN/LOCODE
,AI,FOR,The Forest,The Forest,,QQ,1-------,8110,,,,,N/A,N/A
,AI,MBB,Meads Bay Beach,Meads Bay Beach,,RL,1-------,1601,,1810N 06308W,,"18.16667,-63.13333",N/A (no Nominatim),UN/LOCODE
,AI,RBY,Road Bay,Road Bay,,AS,1-3-----,0001,,1812N 06305W,,"18.20000,-63.08333",N/A (no Nominatim),UN/LOCODE
,AI,ROA,The Road,The Road,,QQ,1-------,8110,,,,,N/A,N/A
,AI,SOM,Sombrero,Sombrero,,RL,1-------,0901,,1836N 06328W,,"18.60000,-63.46667",N/A (no Nominatim),UN/LOCODE
,AI,VAL,The Valley,The Valley,,RL,--3-----,0201,,1813N 06303W,,"18.21667,-63.05000",0,UN/LOCODE
,AI,WLL,Wall Blake,Wall Blake,,RL,1--4----,0201,,,,,N/A,N/A
,AL,ARG,Argyrokastro,Argyrokastro,,RL,--3-----,1001,,4007N 02013E,,"40.11667,20.21667",8,UN/LOCODE
,AL,BQE,Bulqizë,Bulqize,09,RL,--3-----,1801,,4129N 02013E,,"41.48333,20.21667",1,UN/LOCODE
,AL,BRT,Berat,Berat,BR,RL,--3--6--,0701,,4043N 01957E,,"40.71667,19.95000",2,UN/LOCODE
,AL,BUT,Butrint,Butrint,SR,RL,1-------,0901,,3945N 02001E,,"39.75000,20.01667",N/A (no Nominatim),UN/LOCODE
,AL,DRZ,Durrës,Durres,,RL,1-------,0103,,4119N 01927E,,"41.3132550,19.4462348",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/1249871
,AL,FIE,Fier,Fier,,RL,-23-----,0701,,4044N 01934E,,"40.73333,19.56667",1,UN/LOCODE
,AL,FUS,Fushe Arrez,Fushe Arrez,SH,RL,-----6--,0901,,4203N 02001E,,"42.05000,20.01667",3,UN/LOCODE
,AL,GOK,Gjirokastër,Gjirokaster,GJ,RL,--3--6--,0701,,4005N 02009E,,"40.08333,20.15000",1,UN/LOCODE
,AL,HMR,Himare,Himare,SR,RL,1-------,0901,,4008N 01943E,,"40.13333,19.71667",4,UN/LOCODE
,AL,KKU,Kukës,Kukes,KU,RL,--3--6--,1707,,4205N 02025E,,"42.08333,20.41667",1,UN/LOCODE
,AL,KRC,Korçë,Korce,KO,RL,--3-----,0501,,4037N 02046E,,"40.61667,20.76667",1,UN/LOCODE
,AL,LUS,Lushnjë,Lushnje,LU,RL,--3-----,1301,,4056N 01942E,,"40.93333,19.70000",1,UN/LOCODE
,AL,LZE,Lezhe,Lezhe,LE,RL,--3-----,1601,,4147N 01938E,,"41.78333,19.63333",1,UN/LOCODE
,AL,MBR,Mbreshtan,Mbreshtan,01,RL,--3-----,1701,,4042N 01952E,,"40.70000,19.86667",2,UN/LOCODE
,AL,MIL,Milot,Milot,08,RL,--3-----,1801,,4140N 01943E,,"41.66667,19.71667",2,UN/LOCODE
