Change,Country,Location,Name,NameWoDiacritics,Subdivision,Status,Function,Date,IATA,Coordinates,Remarks,CoordinatesDecimal,Distance,Source
,ES,FNR,Freixeiro Naron,Freixeiro Naron,C,RL,--3-----,1001,,4331N 00809W,,"43.51667,-8.15000",3,UN/LOCODE
,ES,FNS,Fontellas,Fontellas,NA,RL,--3-----,1307,,4201N 00134W,,"42.01667,-1.56667",1,UN/LOCODE
,ES,FNT,Fontanar,Fontanar,,RL,--3-----,0201,,4044N 00311W,,"40.7260993,-3.1755311",339,https://www.openstreetmap.org/relation/342469
,ES,FOA,Fonollosa,Fonollosa,B,RL,--3-----,0907,,4145N 00140E,,"41.75000,1.66667",1,UN/LOCODE
,ES,FOB,Fuente Obejuna,Fuente Obejuna,,RL,--3-----,1001,,3816N 00525W,,"38.26667,-5.41667",0,UN/LOCODE
,ES,FOC,Forcarei,Forcarei,PO,RL,--3-----,1207,,4235N 00821W,,"42.58333,-8.35000",1,UN/LOCODE
,ES,FOL,Folgueroles,Folgueroles,B,RL,--3-----,0907,,4156N 00219E,,"41.93333,2.31667",1,UN/LOCODE
,ES,FOM,Fuente el Olmo de Fuentidueña,Fuente el Olmo de Fuentiduena,SG,RL,--3-----,1201,,4123N 00400W,,"41.38333,-4.00000",0,UN/LOCODE
,ES,FON,Fuentes de Oñoro,Fuentes de Onoro,,RL,-23-----,0212,,4035N 00649W,,"40.58333,-6.81667",1,UN/LOCODE
,ES,FOO,Fonolleres,Fonolleres,L,RL,--3-----,2001,,4139N 00112E,,"41.65000,1.20000",1,UN/LOCODE
,ES,FOQ,Folgoso de la Ribera,Folgoso de la Ribera,LE,RL,--3-----,1601,,4238N 00619W,,"42.63333,-6.31667",1,UN/LOCODE
,ES,FOR,Fornells de la Selva,Fornells de la Selva,GI,RL,--3-----,0907,,4156N 00249E,,"41.93333,2.81667",1,UN/LOCODE
,ES,FOS,Foios,Foios,V,RL,--3-----,0901,,3932N 00021W,,"39.53333,-0.35000",1,UN/LOCODE
